request_ip,method,uri,status,referrer,user_agent,query_string,result_type,request_protocol,request_bytes,time_taken,xforwarded_for,ssl_protocol,ssl_cipher,response_result_type,http_version,fle_status,fle_encrypted_fields,c_port,time_to_first_byte,x_edge_detailed_result_type,sc_content_type,sc_content_len,sc_range_start,sc_range_end
3.236.57.159,GET,/,200,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Miss,https,121,1.642,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/2.0,-,,34338,0.702,Miss,text/html;%20charset=UTF-8,,,
3.236.57.159,GET,/index.js,404,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,346,0.563,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.563,Error,text/html;%20charset=UTF-8,,,
3.236.57.159,GET,/index.json,404,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,344,0.529,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.528,Error,text/html;%20charset=UTF-8,,,
3.236.57.159,GET,/index.php,301,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Miss,https,344,0.373,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/2.0,-,,34338,0.373,Miss,text/html,162,,
3.236.57.159,GET,/index1.php,404,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,346,0.37,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.37,Error,text/html,548,,
3.236.57.159,GET,/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,339,0.367,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.367,Error,text/html,548,,
3.236.57.159,GET,/env/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,346,0.37,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.37,Error,text/html,548,,
3.236.57.159,GET,/.environment,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,347,0.369,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.369,Error,text/html,548,,
3.236.57.159,GET,/.envrc,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,344,0.367,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.367,Error,text/html,548,,
3.236.57.159,GET,/.env.stage,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,349,0.095,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,41222,0.095,Error,text/html,548,,
